time,concentration
1958.21,315.71
1958.29,317.45
1958.38,317.50
1958.54,315.86
1958.63,314.93
1958.71,313.20
1958.88,313.33
1958.96,314.67
1959.04,315.62
1959.13,316.38
1959.21,316.71
1959.29,317.72
1959.38,318.29
1959.46,318.15
1959.54,316.54
1959.63,314.80
1959.71,313.84
1959.79,313.26
1959.88,314.80
1959.96,315.58
1960.04,316.43
1960.13,316.97
1960.21,317.58
1960.29,319.02
1960.38,320.03
1960.46,319.59
1960.54,318.18
1960.63,315.91
1960.71,314.16
1960.79,313.83
1960.88,315.00
1960.96,316.19
1961.04,316.93
1961.13,317.70
1961.21,318.54
1961.29,319.48
1961.38,320.58
1961.46,319.77
1961.54,318.57
1961.63,316.79
1961.71,314.80
1961.79,315.38
1961.88,316.10
1961.96,317.01
1962.04,317.94
1962.13,318.56
1962.21,319.68
1962.29,320.63
1962.38,321.01
1962.46,320.55
1962.54,319.58
1962.63,317.40
1962.71,316.26
1962.79,315.42
1962.88,316.69
1962.96,317.69
1963.04,318.74
1963.13,319.08
1963.21,319.86
1963.29,321.39
1963.38,322.25
1963.46,321.47
1963.54,319.74
1963.63,317.77
1963.71,316.21
1963.79,315.99
1963.88,317.12
1963.96,318.31
1964.04,319.57
1964.38,322.25
1964.46,321.89
1964.54,320.44
1964.63,318.70
1964.71,316.70
1964.79,316.79
1964.88,317.79
1964.96,318.71
1965.04,319.44
1965.13,320.44
1965.21,320.89
1965.29,322.13
1965.38,322.16
1965.46,321.87
1965.54,321.39
1965.63,318.81
1965.71,317.81
1965.79,317.30
1965.88,318.87
1965.96,319.42
1966.04,320.62
1966.13,321.59
1966.21,322.39
1966.29,323.87
1966.38,324.01
1966.46,323.75
1966.54,322.39
1966.63,320.37
1966.71,318.64
1966.79,318.10
1966.88,319.79
1966.96,321.08
1967.04,322.07
1967.13,322.50
1967.21,323.04
1967.29,324.42
1967.38,325.00
1967.46,324.09
1967.54,322.55
1967.63,320.92
1967.71,319.31
1967.79,319.31
1967.88,320.72
1967.96,321.96
1968.04,322.57
1968.13,323.15
1968.21,323.89
1968.29,325.02
1968.38,325.57
1968.46,325.36
1968.54,324.14
1968.63,322.03
1968.71,320.41
1968.79,320.25
1968.88,321.31
1968.96,322.84
1969.04,324.00
1969.13,324.42
1969.21,325.64
1969.29,326.66
1969.38,327.34
1969.46,326.76
1969.54,325.88
1969.63,323.67
1969.71,322.38
1969.79,321.78
1969.88,322.85
1969.96,324.11
1970.04,325.03
1970.13,325.99
1970.21,326.87
1970.29,328.13
1970.38,328.07
1970.46,327.66
1970.54,326.35
1970.63,324.69
1970.71,323.10
1970.79,323.16
1970.88,323.98
1970.96,325.13
1971.04,326.17
1971.13,326.68
1971.21,327.18
1971.29,327.78
1971.38,328.92
1971.46,328.57
1971.54,327.34
1971.63,325.46
1971.71,323.36
1971.79,323.57
1971.88,324.80
1971.96,326.01
1972.04,326.77
1972.13,327.63
1972.21,327.75
1972.29,329.72
1972.38,330.07
1972.46,329.09
1972.54,328.05
1972.63,326.32
1972.71,324.93
1972.79,325.06
1972.88,326.50
1972.96,327.55
1973.04,328.54
1973.13,329.56
1973.21,330.30
1973.29,331.50
1973.38,332.48
1973.46,332.07
1973.54,330.87
1973.63,329.31
1973.71,327.51
1973.79,327.18
1973.88,328.16
1973.96,328.64
1974.04,329.35
1974.13,330.71
1974.21,331.48
1974.29,332.65
1974.38,333.19
1974.46,332.12
1974.54,330.99
1974.63,329.17
1974.71,327.41
1974.79,327.21
1974.88,328.34
1974.96,329.50
1975.04,330.68
1975.13,331.41
1975.21,331.85
1975.29,333.29
1975.38,333.91
1975.46,333.40
1975.54,331.74
1975.63,329.88
1975.71,328.57
1975.79,328.36
1975.88,329.33
1976.04,331.66
1976.13,332.75
1976.21,333.46
1976.29,334.78
1976.38,334.78
1976.46,334.06
1976.54,332.95
1976.63,330.64
1976.71,328.96
1976.79,328.77
1976.88,330.18
1976.96,331.65
1977.04,332.69
1977.13,333.23
1977.21,334.97
1977.29,336.03
1977.38,336.82
1977.46,336.10
1977.54,334.79
1977.63,332.53
1977.71,331.19
1977.79,331.21
1977.88,332.35
1977.96,333.47
1978.04,335.10
1978.13,335.26
1978.21,336.61
1978.29,337.77
1978.38,338.00
1978.46,337.98
1978.54,336.48
1978.63,334.37
1978.71,332.33
1978.79,332.41
1978.88,333.76
1978.96,334.83
1979.04,336.21
1979.13,336.65
1979.21,338.13
1979.29,338.94
1979.38,339.00
1979.46,339.20
1979.54,337.60
1979.63,335.56
1979.71,333.93
1979.79,334.12
1979.88,335.26
1979.96,336.78
1980.04,337.80
1980.13,338.28
1980.21,340.04
1980.29,340.86
1980.38,341.47
1980.46,341.26
1980.54,339.34
1980.63,337.45
1980.71,336.10
1980.79,336.05
1980.88,337.21
1980.96,338.29
1981.04,339.36
1981.13,340.51
1981.21,341.57
1981.29,342.56
1981.38,343.01
1981.46,342.49
1981.54,340.68
1981.63,338.49
1981.71,336.92
1981.79,337.12
1981.88,338.59
1981.96,339.90
1982.04,340.92
1982.13,341.69
1982.21,342.85
1982.29,343.92
1982.38,344.67
1982.46,343.78
1982.54,342.23
1982.63,340.11
1982.71,338.32
1982.79,338.39
1982.88,339.48
1982.96,340.88
1983.04,341.64
1983.13,342.87
1983.21,343.59
1983.29,345.25
1983.38,345.96
1983.46,345.52
1983.54,344.15
1983.63,342.25
1983.71,340.17
1983.79,340.30
1983.88,341.53
1983.96,343.07
1984.04,344.05
1984.13,344.77
1984.21,345.46
1984.38,347.55
1984.46,346.98
1984.54,345.55
1984.63,343.20
1984.71,341.35
1984.79,341.68
1984.88,343.06
1984.96,344.55
1985.04,345.25
1985.13,346.06
1985.21,347.66
1985.29,348.20
1985.38,348.92
1985.46,348.40
1985.54,346.66
1985.63,344.85
1985.71,343.20
1985.79,343.08
1985.88,344.40
1985.96,345.82
1986.04,346.54
1986.13,347.13
1986.21,348.05
1986.29,349.77
1986.38,350.53
1986.46,349.90
1986.54,348.11
1986.63,346.09
1986.71,345.01
1986.79,344.47
1986.88,345.86
1986.96,347.15
1987.04,348.38
1987.13,348.70
1987.21,349.72
1987.29,351.32
1987.38,352.14
1987.46,351.61
1987.54,349.91
1987.63,347.84
1987.71,346.52
1987.79,346.65
1987.88,347.96
1987.96,349.18
1988.04,350.38
1988.13,351.68
1988.21,352.24
1988.29,353.66
1988.38,354.18
1988.46,353.68
1988.54,352.58
1988.63,350.66
1988.71,349.03
1988.79,349.08
1988.88,350.15
1988.96,351.44
1989.04,352.89
1989.13,353.24
1989.21,353.80
1989.29,355.59
1989.38,355.89
1989.46,355.30
1989.54,353.98
1989.63,351.53
1989.71,350.02
1989.79,350.29
1989.88,351.44
1989.96,352.84
1990.04,353.79
1990.13,354.88
1990.21,355.65
1990.29,356.27
1990.38,357.29
1990.46,356.32
1990.54,354.89
1990.63,352.89
1990.71,351.28
1990.79,351.59
1990.88,353.05
1990.96,354.27
1991.04,354.87
1991.13,355.68
1991.21,357.06
1991.29,358.51
1991.38,359.09
1991.46,358.10
1991.54,356.12
1991.63,353.89
1991.71,352.30
1991.79,352.32
1991.88,353.79
1991.96,355.07
1992.04,356.17
1992.13,356.93
1992.21,357.82
1992.29,359.00
1992.38,359.55
1992.46,359.32
1992.54,356.85
1992.63,354.91
1992.71,352.93
1992.79,353.31
1992.88,354.27
1992.96,355.53
1993.04,356.86
1993.13,357.27
1993.21,358.36
1993.29,359.27
1993.38,360.19
1993.46,359.52
1993.54,357.42
1993.63,355.46
1993.71,354.10
1993.79,354.12
1993.88,355.40
1993.96,356.84
1994.04,358.22
1994.13,358.98
1994.21,359.91
1994.29,361.32
1994.38,361.68
1994.46,360.80
1994.54,359.39
1994.63,357.42
1994.71,355.63
1994.79,356.09
1994.88,357.56
1994.96,358.87
1995.04,359.87
1995.13,360.79
1995.21,361.77
1995.29,363.23
1995.38,363.77
1995.46,363.22
1995.54,361.70
1995.63,359.11
1995.71,358.11
1995.79,357.97
1995.88,359.40
1995.96,360.61
1996.04,362.04
1996.13,363.17
1996.21,364.17
1996.29,364.51
1996.38,365.16
1996.46,364.93
1996.54,363.53
1996.63,361.38
1996.71,359.60
1996.79,359.54
1996.88,360.84
1996.96,362.18
1997.04,363.04
1997.13,364.09
1997.21,364.47
1997.29,366.25
1997.38,366.69
1997.46,365.59
1997.54,364.34
1997.63,362.20
1997.71,360.31
1997.79,360.71
1997.88,362.44
1997.96,364.33
1998.04,365.18
1998.13,365.98
1998.21,367.13
1998.29,368.61
1998.38,369.49
1998.46,368.95
1998.54,367.74
1998.63,365.79
1998.71,364.01
1998.79,364.35
1998.88,365.52
1998.96,367.08
1999.04,368.12
1999.13,368.98
1999.21,369.60
1999.29,370.96
1999.38,370.77
1999.46,370.33
1999.54,369.28
1999.63,366.86
1999.71,364.94
1999.79,365.35
1999.88,366.68
1999.96,368.04
2000.04,369.25
2000.13,369.50
2000.21,370.56
2000.29,371.82
2000.38,371.51
2000.46,371.71
2000.54,369.85
2000.63,368.20
2000.71,366.91
2000.79,366.99
2000.88,368.33
2000.96,369.67
2001.04,370.52
2001.13,371.49
2001.21,372.53
2001.29,373.37
2001.38,373.82
2001.46,373.18
2001.54,371.57
2001.63,369.63
2001.71,368.16
2001.79,368.42
2001.88,369.69
2001.96,371.18
2002.04,372.45
2002.13,373.14
2002.21,373.93
2002.29,375.00
2002.38,375.65
2002.46,375.50
2002.54,374.00
2002.63,371.83
2002.71,370.66
2002.79,370.51
2002.88,372.20
2002.96,373.71
2003.04,374.87
2003.13,375.62
2003.21,376.48
2003.29,377.74
2003.38,378.50
2003.46,378.18
2003.54,376.72
2003.63,374.32
2003.71,373.20
2003.79,373.10
2003.88,374.64
2003.96,375.93
2004.04,377.00
2004.13,377.87
2004.21,378.73
2004.29,380.41
2004.38,380.63
2004.46,379.56
2004.54,377.61
2004.63,376.15
2004.71,374.11
2004.79,374.44
2004.88,375.93
2004.96,377.45
2005.04,378.47
2005.13,379.76
2005.21,381.14
2005.29,382.20
2005.38,382.47
2005.46,382.20
2005.54,380.78
2005.63,378.73
2005.71,376.66
2005.79,376.98
2005.88,378.29
2005.96,379.92
2006.04,381.35
2006.13,382.16
2006.21,382.66
2006.29,384.73
2006.38,384.98
2006.46,384.09
2006.54,382.38
2006.63,380.45
2006.71,378.92
2006.79,379.16
2006.88,380.18
2006.96,381.79
2007.04,382.93
2007.13,383.81
2007.21,384.56
2007.29,386.40
2007.38,386.58
2007.46,386.05
2007.54,384.49
2007.63,382.00
2007.71,380.90
2007.79,381.14
2007.88,382.42
2007.96,383.89
2008.04,385.44
2008.13,385.73
2008.21,385.97
2008.29,387.16
2008.38,388.50
2008.46,387.88
2008.54,386.42
2008.63,384.15
2008.71,383.09
2008.79,382.99
2008.88,384.13
2008.96,385.56
2009.04,386.94
2009.13,387.42
2009.21,388.77
2009.29,389.44
2009.38,390.19
2009.46,389.45
2009.54,387.78
2009.63,385.92
2009.71,384.79
2009.79,384.39
2009.88,386.00
2009.96,387.31
2010.04,388.50
2010.13,389.94
2010.21,391.09
2010.29,392.52
2010.38,393.04
2010.46,392.15
2010.54,390.22
2010.63,388.26
2010.71,386.83
2010.79,387.20
2010.88,388.65
2010.96,389.73
2011.04,391.25
2011.13,391.82
2011.21,392.49
2011.29,393.34
2011.38,394.21
2011.46,393.72
2011.54,392.42
2011.63,390.19
2011.71,389.04
2011.79,388.96
2011.88,390.24
2011.96,391.83
2012.04,393.12
2012.13,393.60
2012.21,394.45
2012.29,396.18
2012.38,396.78
2012.46,395.83
2012.54,394.30
2012.63,392.41
2012.71,391.06
2012.79,391.01
2012.88,392.81
2012.96,394.28
2013.04,395.54
2013.13,396.80
2013.21,397.31
2013.29,398.35
2013.38,399.76
2013.46,398.58
2013.54,397.20
2013.63,395.15
2013.71,393.51
2013.79,393.66
2013.88,395.11
2013.96,396.81